iter	Passed	Remaining
0	80	209316
1	133	172931
2	189	163815
3	243	158164
4	302	156759
5	367	158842
6	422	156601
7	477	154822
8	542	156174
9	602	156047
10	652	153606
11	706	152333
12	763	151862
13	821	151725
14	876	151089
15	927	149858
16	984	149539
17	1062	152373
18	1122	152507
19	1177	151959
20	1246	153030
21	1303	152786
22	1360	152383
23	1449	155570
24	1502	154706
25	1554	153879
26	1604	152949
27	1663	152801
28	1723	152759
29	1774	152020
30	1824	151208
31	1883	151134
32	1943	151168
33	1994	150543
34	2044	149798
35	2112	150482
36	2172	150463
37	2223	149914
38	2279	149666
39	2333	149332
40	2415	150743
41	2466	150215
42	2524	150109
43	2588	150356
44	2646	150244
45	2693	149528
46	2745	149141
47	2808	149317
48	2870	149428
49	2924	149174
50	2976	148786
51	3028	148416
52	3141	150968
53	3203	151021
54	3282	151884
55	3360	152673
56	3425	152819
57	3493	153123
58	3574	153926
59	3643	154243
60	3708	154363
61	3785	154976
62	3848	154988
63	3912	155050
64	3987	155522
65	4050	155496
66	4112	155484
67	4188	155945
68	4253	156016
69	4314	155926
70	4418	157383
71	4473	157054
72	4546	157383
73	4608	157311
74	4665	157055
75	4713	156545
76	4767	156208
77	4827	156102
78	4882	155800
79	4928	155255
80	4974	154710
81	5043	154879
82	5094	154499
83	5148	154210
84	5202	153918
85	5264	153892
86	5308	153342
87	5349	152702
88	5394	152195
89	5452	152057
90	5501	151675
91	5546	151204
92	5596	150872
93	5652	150683
94	5698	150255
95	5743	149797
96	5792	149471
97	5846	149265
98	5891	148845
99	5935	148384
100	5972	147779
101	6036	147837
102	6078	147353
103	6125	147009
104	6168	146575
105	6233	146667
106	6281	146355
107	6327	145990
108	6369	145555
109	6417	145270
110	6468	145038
111	6510	144617
112	6548	144127
113	6597	143876
114	6634	143372
115	6665	142743
116	6696	142106
117	6726	141493
118	6760	140945
119	6795	140447
120	6830	139949
121	6864	139434
122	6895	138869
123	6929	138361
124	6961	137836
125	7001	137470
126	7036	137026
127	7069	136527
128	7101	136032
129	7138	135625
130	7177	135270
131	7214	134890
132	7247	134435
133	7279	133961
134	7311	133509
135	7346	133092
136	7383	132747
137	7419	132364
138	7450	131914
139	7487	131570
140	7520	131162
141	7556	130799
142	7598	130558
143	7633	130194
144	7666	129804
145	7697	129374
146	7732	129033
147	7770	128737
148	7812	128518
149	7848	128189
150	7879	127793
151	7909	127385
152	7942	127028
153	7980	126751
154	8020	126509
155	8054	126182
156	8085	125820
157	8121	125521
158	8150	125127
159	8182	124778
160	8218	124509
161	8257	124268
162	8287	123911
163	8317	123547
164	8349	123219
165	8389	123008
166	8423	122717
167	8457	122430
168	8488	122108
169	8520	121786
170	8550	121450
171	8595	121334
172	8627	121027
173	8660	120744
174	8693	120460
175	8724	120162
176	8764	119984
177	8797	119700
178	8832	119454
179	8863	119160
180	8896	118896
181	8932	118670
182	8967	118441
183	9001	118187
184	9033	117928
185	9066	117666
186	9096	117377
187	9134	117197
188	9167	116952
189	9201	116718
190	9234	116476
191	9266	116214
192	9299	115984
193	9331	115735
194	9370	115569
195	9400	115300
196	9434	115079
197	9466	114842
198	9500	114624
199	9531	114380
200	9566	114183
201	9613	114118
202	9648	113923
203	9687	113775
204	9724	113614
205	9755	113372
206	9794	113224
207	9827	113011
208	9856	112763
209	9887	112524
210	9917	112289
211	9949	112077
212	9985	111897
213	10014	111655
214	10044	111425
215	10073	111186
216	10105	110970
217	10139	110789
218	10176	110643
219	10206	110413
220	10235	110185
221	10266	109967
222	10292	109714
223	10320	109473
224	10354	109293
225	10389	109132
226	10418	108912
227	10446	108681
228	10475	108459
229	10505	108247
230	10535	108050
231	10572	107911
232	10601	107698
233	10632	107503
234	10661	107293
235	10690	107082
236	10718	106871
237	10751	106700
238	10787	106565
239	10815	106353
240	10846	106168
241	10876	105979
242	10905	105778
243	10936	105597
244	10969	105438
245	10998	105241
246	11026	105040
247	11070	104989
248	11097	104784
249	11126	104588
250	11156	104405
251	11187	104235
252	11218	104067
253	11259	103997
254	11292	103850
255	11320	103653
256	11349	103472
257	11376	103273
258	11416	103191
259	11458	103126
260	11490	102978
261	11529	102889
262	11565	102770
263	11598	102627
264	11630	102477
265	11662	102335
266	11691	102159
267	11717	101960
268	11742	101757
269	11772	101596
270	11801	101427
271	11828	101238
272	11870	101182
273	11902	101037
274	11928	100853
275	11956	100678
276	11986	100520
277	12017	100373
278	12062	100346
279	12090	100176
280	12122	100042
281	12152	99893
282	12182	99737
283	12210	99572
284	12245	99465
285	12271	99291
286	12298	99119
287	12331	98992
288	12365	98881
289	12394	98730
290	12428	98618
291	12460	98486
292	12489	98337
293	12517	98182
294	12544	98014
295	12572	97859
296	12602	97725
297	12634	97601
298	12669	97502
299	12702	97387
300	12729	97227
301	12756	97066
302	12785	96924
303	12812	96767
304	12841	96629
305	12880	96562
306	12906	96402
307	12932	96240
308	12959	96081
309	12988	95947
310	13014	95788
311	13046	95676
312	13079	95566
313	13107	95428
314	13133	95273
315	13163	95142
316	13191	95007
317	13223	94894
318	13254	94778
319	13292	94712
320	13323	94595
321	13349	94442
322	13382	94340
323	13410	94202
324	13434	94043
325	13468	93948
326	13498	93830
327	13530	93720
328	13556	93579
329	13583	93439
330	13610	93302
331	13642	93194
332	13667	93045
333	13691	92892
334	13717	92747
335	13742	92600
336	13767	92452
337	13793	92309
338	13824	92206
339	13851	92068
340	13878	91939
341	13904	91801
342	13929	91657
343	13953	91511
344	13979	91370
345	14012	91280
346	14041	91166
347	14065	91019
348	14089	90878
349	14116	90748
350	14142	90615
351	14167	90478
352	14193	90346
353	14224	90246
354	14246	90091
355	14272	89962
356	14297	89830
357	14323	89702
358	14348	89570
359	14373	89434
360	14400	89313
361	14428	89202
362	14452	89065
363	14477	88931
364	14501	88797
365	14526	88667
366	14551	88535
367	14576	88409
368	14607	88318
369	14634	88200
370	14658	88068
371	14681	87933
372	14706	87804
373	14729	87667
374	14755	87550
375	14778	87411
376	14810	87328
377	14833	87197
378	14858	87073
379	14880	86934
380	14905	86813
381	14930	86691
382	14956	86575
383	14991	86516
384	15020	86415
385	15045	86298
386	15070	86178
387	15094	86053
388	15118	85933
389	15143	85811
390	15174	85729
391	15200	85621
392	15226	85509
393	15251	85394
394	15276	85278
395	15301	85165
396	15327	85056
397	15359	84980
398	15388	84886
399	15413	84771
400	15436	84648
401	15458	84521
402	15483	84408
403	15507	84291
404	15533	84187
405	15564	84109
406	15587	83988
407	15611	83873
408	15632	83743
409	15658	83640
410	15683	83530
411	15706	83410
412	15731	83303
413	15765	83245
414	15791	83143
415	15815	83033
416	15841	82930
417	15863	82809
418	15887	82699
419	15911	82587
420	15942	82514
421	15969	82420
422	15994	82314
423	16022	82230
424	16047	82123
425	16070	82014
426	16096	81914
427	16128	81850
428	16155	81757
429	16183	81671
430	16208	81570
431	16231	81458
432	16258	81365
433	16291	81306
434	16317	81214
435	16342	81114
436	16365	81001
437	16389	80900
438	16414	80802
439	16440	80707
440	16468	80626
441	16503	80574
442	16528	80477
443	16554	80388
444	16579	80287
445	16605	80195
446	16629	80096
447	16659	80027
448	16687	79944
449	16712	79847
450	16736	79748
451	16761	79653
452	16786	79560
453	16810	79462
454	16838	79380
455	16870	79320
456	16895	79229
457	16921	79139
458	16946	79047
459	16971	78955
460	16998	78872
461	17024	78786
462	17057	78731
463	17083	78643
464	17107	78546
465	17132	78457
466	17158	78372
467	17182	78276
468	17207	78187
469	17237	78118
470	17265	78043
471	17290	77953
472	17316	77867
473	17339	77772
474	17362	77673
475	17384	77574
476	17417	77519
477	17445	77447
478	17471	77363
479	17494	77266
480	17519	77182
481	17546	77101
482	17568	77004
